주상병명	진료년도	연령	진료인원(명)
수면장애	2017	40대	249
수면장애	2017	50대	363
수면장애	2017	60대	350
수면장애	2017	70대	310
수면장애	2017	80대 이상	236
수면장애	2017	20대	161
수면장애	2017	30대	408
수면장애	2017	40대	539
수면장애	2017	50대	688
수면장애	2017	60대	615
수면장애	2017	70대	567
수면장애	2017	80대 이상	295
수면장애	2017	20대	324
수면장애	2017	30대	784
수면장애	2017	40대	1152
수면장애	2017	50대	1282
수면장애	2017	60대	1035
수면장애	2017	70대	811
수면장애	2017	80대 이상	439
수면장애	2017	20대	192
수면장애	2017	30대	405
수면장애	2017	40대	557
수면장애	2017	50대	847
수면장애	2017	60대	804
수면장애	2017	70대	682
수면장애	2017	80대 이상	318
수면장애	2017	20대	95
수면장애	2017	30대	205
수면장애	2017	40대	322
수면장애	2017	50대	418
수면장애	2017	60대	381
수면장애	2017	70대	286
수면장애	2017	80대 이상	195
수면장애	2017	20대	70
수면장애	2017	30대	177
수면장애	2017	40대	227
수면장애	2017	50대	361
수면장애	2017	60대	303
수면장애	2017	70대	233
수면장애	2017	80대 이상	143
수면장애	2017	20대	48
수면장애	2017	30대	108
수면장애	2017	40대	148
수면장애	2017	50대	264
수면장애	2017	60대	265
수면장애	2017	70대	289
수면장애	2017	80대 이상	193
수면장애	2017	20대	0
수면장애	2017	30대	0
수면장애	2017	40대	0
수면장애	2017	50대	0
수면장애	2017	60대	0
수면장애	2017	20대	23
수면장애	2017	30대	29
수면장애	2017	40대	45
수면장애	2017	50대	98
수면장애	2017	60대	92
수면장애	2017	70대	117
수면장애	2017	80대 이상	67
수면장애	2017	20대	36
수면장애	2017	30대	66
수면장애	2017	40대	104
수면장애	2017	50대	170
수면장애	2017	60대	205
수면장애	2017	70대	205
수면장애	2017	80대 이상	130
수면장애	2017	20대	41
수면장애	2017	30대	87
수면장애	2017	40대	154
수면장애	2017	50대	280
수면장애	2017	60대	330
수면장애	2017	70대	330
수면장애	2017	80대 이상	182
수면장애	2017	20대	150
수면장애	2017	30대	307
수면장애	2017	40대	423
수면장애	2017	50대	616
수면장애	2017	60대	559
수면장애	2017	70대	534
수면장애	2017	80대 이상	370
수면장애	2017	20대	174
수면장애	2017	30대	335
수면장애	2017	40대	397
수면장애	2017	50대	585
수면장애	2017	60대	454
수면장애	2017	70대	427
수면장애	2017	80대 이상	275
수면장애	2017	20대	71
수면장애	2017	30대	175
수면장애	2017	40대	230
수면장애	2017	50대	372
수면장애	2017	60대	386
수면장애	2017	70대	363
수면장애	2017	80대 이상	247
수면장애	2017	20대	29
수면장애	2017	30대	76
수면장애	2017	40대	108
수면장애	2017	50대	176
수면장애	2017	60대	145
수면장애	2017	70대	148
수면장애	2017	80대 이상	72
수면장애	2017	20대	11
수면장애	2017	30대	35
수면장애	2017	40대	69
수면장애	2017	50대	98
수면장애	2017	60대	128
수면장애	2017	70대	113
수면장애	2017	80대 이상	31
수면장애	2017	20대	27
수면장애	2017	30대	60
수면장애	2017	40대	101
수면장애	2017	50대	161
수면장애	2017	60대	130
수면장애	2017	70대	142
수면장애	2017	80대 이상	83
수면장애	2017	20대	25
수면장애	2017	30대	43
수면장애	2017	40대	89
수면장애	2017	50대	168
수면장애	2017	60대	141
수면장애	2017	70대	139
수면장애	2017	80대 이상	81
수면장애	2017	20대	22
수면장애	2017	30대	49
수면장애	2017	40대	73
수면장애	2017	50대	111
수면장애	2017	60대	127
수면장애	2017	70대	146
수면장애	2017	80대 이상	110
수면장애	2017	20대	20
수면장애	2017	30대	27
수면장애	2017	40대	34
수면장애	2017	50대	98
수면장애	2017	60대	125
수면장애	2017	70대	121
수면장애	2017	80대 이상	86
수면장애	2017	20대	23
수면장애	2017	30대	37
수면장애	2017	40대	55
수면장애	2017	50대	131
수면장애	2017	60대	147
수면장애	2017	70대	177
수면장애	2017	80대 이상	110
수면장애	2017	20대	11
수면장애	2017	30대	28
수면장애	2017	40대	65
수면장애	2017	50대	118
수면장애	2017	60대	141
수면장애	2017	70대	178
수면장애	2017	80대 이상	82
수면장애	2017	20대	15
수면장애	2017	30대	20
수면장애	2017	40대	44
수면장애	2017	50대	96
수면장애	2017	60대	100
수면장애	2017	70대	120
수면장애	2017	80대 이상	58
수면장애	2017	20대	28
수면장애	2017	30대	62
수면장애	2017	40대	82
수면장애	2017	50대	123
수면장애	2017	60대	105
수면장애	2017	70대	139
수면장애	2017	80대 이상	84
수면장애	2017	20대	13
수면장애	2017	30대	21
수면장애	2017	40대	38
수면장애	2017	50대	45
수면장애	2017	60대	43
수면장애	2017	70대	56
수면장애	2017	80대 이상	49
수면장애	2017	20대	21
수면장애	2017	30대	37
수면장애	2017	40대	36
수면장애	2017	50대	57
수면장애	2017	60대	54
수면장애	2017	70대	35
수면장애	2017	80대 이상	25
수면장애	2017	20대	16
수면장애	2017	30대	33
수면장애	2017	40대	42
수면장애	2017	50대	70
수면장애	2017	60대	59
수면장애	2017	70대	56
수면장애	2017	80대 이상	29
수면장애	2017	20대	10
수면장애	2017	30대	16
수면장애	2017	40대	28
수면장애	2017	50대	45
수면장애	2017	60대	55
수면장애	2017	70대	58
수면장애	2017	80대 이상	30
수면장애	2017	20대	12
수면장애	2017	30대	20
수면장애	2017	40대	42
수면장애	2017	50대	63
수면장애	2017	60대	69
수면장애	2017	70대	93
수면장애	2017	80대 이상	52
수면장애	2017	20대	81
수면장애	2017	30대	169
수면장애	2017	40대	245
수면장애	2017	50대	405
수면장애	2017	60대	280
수면장애	2017	70대	298
수면장애	2017	80대 이상	207
수면장애	2017	20대	119
수면장애	2017	30대	204
